Fall,GeoLocation,Id,Name,Nametype,Recclass,Year,Reclat,Reclong,Mass
Found,"(32.16657, -111.11718)",47356,San Joaquin,Valid,L5/6,2005,32.16657,-111.11718,31.8
Fell,"(40.30583, -105.02325)",47355,Berthoud,Valid,Eucrite-mmict,2004,40.30583,-105.02325,960
Found,"(35.37358, -115.34388)",47353,Willow Wash,Valid,H3.5,2006,35.37358,-115.34388,552
Found,"(31.59391, -111.37023)",47346,Arivaca,Valid,Eucrite-mmict,1999,31.59391,-111.37023,30.1
Fell,"(45.34583, -92.05167)",47343,Turtle Lake,Valid,L5,1996,45.34583,-92.05167,89.3
Found,"(33.81667, -100.51667)",47341,Dumont,Valid,"Iron, IVB",1994,33.81667,-100.51667,27420
Fell,"(25.37, -97.37)",45977,El Paso de Aguila,Valid,H5,1977,25.37,-97.37,17226
Found,"(34.74667, -114.21)",45974,Sacramento Wash 005,Valid,H-metal,2004,34.74667,-114.21,52.3
Found,"(38.66167, -115.51833)",45972,Blue Eagle,Valid,R3-6,2006,38.66167,-115.51833,70
Found,"(35.647, -114.0955)",45971,Red Dry Lake 065,Valid,L6,2006,35.647,-114.0955,3
Found,"(35.64133, -114.09)",45970,Red Dry Lake 064,Valid,H5,2006,35.64133,-114.09,6
Found,"(35.63333, -114.08333)",45969,Red Dry Lake 063,Valid,H4,2006,35.63333,-114.08333,6
Found,"(34.51092, -116.93962)",45968,Lucerne Valley 058,Valid,L6,2006,34.51092,-116.93962,0.85
Found,"(34.486, -116.97275)",45967,Lucerne Valley 057,Valid,L6,2005,34.486,-116.97275,13.15
Found,"(39.71633, -97.8545)",45966,Kackley,Valid,H4,2006,39.71633,-97.8545,1368
Found,"(35.04015, -117.27283)",45965,Harper Dry Lake 019,Valid,L6,2007,35.04015,-117.27283,118.7
Found,"(35.04102, -117.27465)",45964,Harper Dry Lake 017,Valid,H6,2007,35.04102,-117.27465,16.4
Found,"(35.0742, -116.7637)",45963,Coyote Dry Lake 277,Valid,H5,2006,35.0742,-116.7637,21.3
Found,"(35.07118, -116.77162)",45962,Coyote Dry Lake 276,Valid,H6,2006,35.07118,-116.77162,47.2
Found,"(35.05122, -116.76742)",45961,Coyote Dry Lake 275,Valid,H4,2006,35.05122,-116.76742,16.2
Found,"(35.05902, -116.76892)",45960,Coyote Dry Lake 274,Valid,H4,2006,35.05902,-116.76892,7.5
Found,"(40.2628, -118.95912)",45959,Bluewing 029,Valid,H6,2006,40.2628,-118.95912,83.8
Found,"(35.23625, -117.04638)",44801,Superior Valley 026,Valid,L4,2006,35.23625,-117.04638,15.8
Found,"(36.7845, -114.94967)",44800,Starvation Flat,Valid,L5,2002,36.7845,-114.94967,1250
Found,"(35.4005, -117.66617)",44798,Randsburg,Valid,L5,2005,35.4005,-117.66617,112.9
Found,"(33.18667, -114.91783)",44796,Paymaster Mine,Valid,L5,2004,33.18667,-114.91783,159
Found,"(34.525, -116.95333)",44718,Lucerne Valley 051,Valid,L5,2003,34.525,-116.95333,6
Found,"(41.03333, -102.88333)",44717,Lorenzo,Valid,L5,1941,41.03333,-102.88333,611.9
Found,"(44.47733, -103.972)",44709,Crow Peak,Valid,"Iron, IIAB",1958,44.47733,-103.972,6320
